Subject,Course,Detail,Course_code,Title,science_credits,discipline_credit,isci_courses,honorary_credits
ASTR,300,,ASTR 300,Galaxies,3,3,,
ASTR,310,,ASTR 310,Exploring the Universe: The Solar System,,,,
ASTR,311,,ASTR 311,Exploring the Universe: Stars and Galaxies,,,,
ASTR,333,,ASTR 333,Exoplanets and Astrobiology,3,3,,
ASTR,403,,ASTR 403,Cosmology,3,3,,
ASTR,404,,ASTR 404,Astronomical and Astrophysical Measurements,3,3,,
ASTR,405,,ASTR 405,Astronomical Laboratory,3,3,,
ASTR,406,,ASTR 406,High-Energy Astrophysics,3,3,,
ASTR,407,,ASTR 407,Planetary Science,3,3,,
ATSC,313,,ATSC 313,Renewable Energy Meteorology,3,3,,
ATSC,404,,ATSC 404,Dynamic Meteorology,3,3,,
ATSC,405,,ATSC 405,Cloud Physics and Chemistry,3,3,,
ATSC,409,,ATSC 409,"Numerical Techniques for Ocean, Atmosphere and Earth Scientists",3,3,,
ATSC,413,,ATSC 413,Forest-fire Weather and Climate,3,3,,
APBI,311,,APBI 311,"Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology",,3,,
APBI,312,,APBI 312,Reproductive and Digestive Physiology,,3,,
APBI,313,,APBI 313,Experimental Analysis of Animal Behaviour,,3,,
APBI,314,,APBI 314,Animals and Society,,3,,
APBI,315,,APBI 315,Animal Welfare and the Ethics of Animal Use,,3,,
APBI,316,,APBI 316,"Equine Biology, Health and Welfare",,3,,
APBI,318,,APBI 318,Applied Plant Breeding,,3,,
APBI,319,,APBI 319,Aquaculture and the Environment,,3,,
APBI,324,,APBI 324,Introduction to Seed Plant Taxonomy,,3,,
APBI,326,,APBI 326,Introductory Plant Pathology,,3,,
APBI,327,,APBI 327,Introduction to Entomology,,3,,
APBI,328,,APBI 328,Weed Science,,4,,
APBI,342,,APBI 342,Soil Biology,,3,,
APBI,351,,APBI 351,Plant Physiology,,4,,
APBI,360,,APBI 360,Agroecology II: Ecology of Agricultural Systems,,3,,
APBI,361,,APBI 361,Key Indicators of Agroecosystem Sustainability,,3,,
APBI,398,,APBI 398,Research Methods in Applied Biology,,3,,
APBI,401,,APBI 401,Soil Processes,,3,,
APBI,402,,APBI 402,Sustainable Soil Management,,3,,
APBI,405,,APBI 405,Plant-Water Relations for Sustainable Agriculture,,3,,
APBI,410,,APBI 410,Applied Animal Health and Physiology,,3,,
APBI,414,,APBI 414,Animals and Global Issues,,3,,
APBI,415,,APBI 415,Applied Animal Behaviour,,3,,
APBI,419,,APBI 419,Fish Health,,3,,
APBI,423,,APBI 423,Ecological Restoration,,3,,
APBI,426,,APBI 426,Plant-Microbe Interactions,,3,,
APBI,428,,APBI 428,Integrated Pest Management,,3,,
APBI,440,,APBI 440,Plant Genomics,,3,,
APBI,444,,APBI 444,Agroforestry,,3,,
APBI,460,,APBI 460,Agroecology III: Synthesis and evaluation,,3,,
APBI,463,,APBI 463,Insects in Agroecosystems,,3,,
APBI,490,A,APBI 490A,Advanced Topics in Applied Biology,,3,,
APBI,490,B,APBI 490B,Advanced Topics in Applied Biology,,3,,
APBI,490,C,APBI 490C,Advanced Topics in Applied Biology,,3,,
APBI,490,D,APBI 490D,Advanced Topics in Applied Biology,,3,,
APBI,490,E,APBI 490E,Advanced Topics in Applied Biology,,3,,
APBI,490,F,APBI 490F,Advanced Topics in Applied Biology,,3,,
BIOC,301,,BIOC 301,Biochemistry Laboratory,3,3,,
BIOC,302,,BIOC 302,General Biochemistry,3,3,,
BIOC,303,,BIOC 303,Molecular Biochemistry,6,6,,
BIOC,304,,BIOC 304,Contemporary Biochemical Research,3,3,,
BIOC,402,,BIOC 402,Proteins: Structure and Function,3,3,,
BIOC,403,,BIOC 403,Enzymology,3,3,,
BIOC,404,,BIOC 404,Biochemical Methods,3,3,,
BIOC,410,,BIOC 410,Nucleic Acids-Structure and Function,3,3,,
BIOC,420,,BIOC 420,Advanced Biochemical Techniques,3,3,,
BIOC,421,,BIOC 421,Recombinant DNA Techniques,3,3,,
BIOC,440,,BIOC 440,Concepts in Molecular Biology,3,3,,
BIOC,448,B,BIOC 448B,Directed Studies in Biochemistry,6,6,,
BIOC,449,C,BIOC 449C,Honours Thesis,6,6,,
BIOC,450,,BIOC 450,Membrane Biochemistry,3,3,,
BIOC,460,,BIOC 460,Advanced Techniques in Biochemistry,3,3,,
BIOC,470,,BIOC 470,Biochemistry & Society: Current Issues,3,3,,
BIOL,300,,BIOL 300,Fundamentals of Biostatistics,3,3,,
BIOL,301,,BIOL 301,Biomathematics,3,3,,
BIOL,303,,BIOL 303,Green Planet: Biology and History of Plants that Changed Civilizations,3,3,,
BIOL,306,,BIOL 306,Advanced Ecology,3,3,,
BIOL,310,,BIOL 310,Introduction to Animal Behaviour,3,3,,
BIOL,314,,BIOL 314,Elements of Biodiversity,3,3,,
BIOL,320,,BIOL 320,Survey of Algae,4,4,,
BIOL,321,,BIOL 321,Morphology and Evolution of Bryophytes,3,3,,
BIOL,323,,BIOL 323,Structure and Reproduction of Fungi,3,3,,
BIOL,324,,BIOL 324,Introduction to Seed Plant Taxonomy,3,3,,
BIOL,325,,BIOL 325,Introduction to Animal Mechanics and Locomotion,3,3,,
BIOL,326,,BIOL 326,Experimental Biology of Invertebrates,3,3,,
BIOL,327,,BIOL 327,Introduction to Entomology,3,3,,
BIOL,328,,BIOL 328,Introductory Parasitology,3,3,,
BIOL,331,,BIOL 331,Developmental Biology,4,4,,
BIOL,335,,BIOL 335,Molecular Genetics,3,3,,
BIOL,336,,BIOL 336,Fundamentals of Evolutionary Biology,3,3,,
BIOL,337,,BIOL 337,Introductory Genetics Laboratory,3,3,,
BIOL,340,,BIOL 340,Introductory Cell Biology Laboratory,3,3,,
BIOL,341,,BIOL 341,Introductory Molecular Biology Laboratory,3,3,,
BIOL,342,,BIOL 342,Integrative Biology Laboratory,2,2,,
BIOL,344,,BIOL 344,Human Heredity and Evolution,3,3,,
BIOL,346,,BIOL 346,Microbes and Society,,,,
BIOL,347,,BIOL 347,Principles and Methodology in Biological Research,3,3,,
BIOL,348,,BIOL 348,Biology of Cannabis,3,3,,
BIOL,351,,BIOL 351,Plant Physiology I,4,4,,
BIOL,352,,BIOL 352,Plant Physiology II: Plant Development,3,3,,
BIOL,362,,BIOL 362,Cellular Dynamics,3,3,,
BIOL,363,,BIOL 363,Laboratory in Animal Physiology,2,2,,
BIOL,364,,BIOL 364,"Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology",3,3,,
BIOL,370,,BIOL 370,Principles of Muscle Physiology and Energetics,3,3,,
BIOL,371,,BIOL 371,Principles of Neurobiology I,3,3,,
BIOL,372,,BIOL 372,Principles of Neurobiology II,3,3,,
BIOL,402,,BIOL 402,Aquatic Ecology,3,3,,
BIOL,403,,BIOL 403,Microbial Ecology,3,3,,
BIOL,404,,BIOL 404,Ecological Methodology,3,3,,
BIOL,406,,BIOL 406,Plant Ecology I,4,4,,
BIOL,411,,BIOL 411,Insect Ecology,3,3,,
BIOL,412,,BIOL 412,Phytogeography,3,3,,
BIOL,415,,BIOL 415,Evolutionary Processes in Plants,3,3,,
BIOL,416,,BIOL 416,Principles of Conservation Biology,3,3,,
BIOL,417,,BIOL 417,Phylogenetic Biology,3,3,,
BIOL,418,,BIOL 418,Evolutionary Ecology,3,3,,
BIOL,420,,BIOL 420,Ocean Conservation and Sustainability,3,3,,
BIOL,421,,BIOL 421,Plant-Microbe Interactions,3,3,,
BIOL,427,,BIOL 427,Ornithology and Herpetology,3,3,,
BIOL,428,,BIOL 428,Evolutionary Morphology of Marine Invertebrates,3,3,,
BIOL,430,,BIOL 430,Genome Evolution,3,3,,
BIOL,431,,BIOL 431,Evolutionary Cell Biology,3,3,,
BIOL,433,,BIOL 433,Plant Genetics,3,3,,
BIOL,438,,BIOL 438,Zoological Physics,3,3,,
BIOL,440,,BIOL 440,Plant Genomics,3,3,,
BIOL,441,,BIOL 441,Advanced Topics in Cell Biology,3,3,,
BIOL,447,,BIOL 447,Principles and Methodology in Biological Research,3,3,,
BIOL,448,A,BIOL 448A,Directed Studies in Biology,3,3,,
BIOL,448,D,BIOL 448D,Directed Studies in Biology,6,6,,
BIOL,449,,BIOL 449,Directed Biological Research,6,6,,
BIOL,450,,BIOL 450,Molecular Adaptation of Animals to the Environment,3,3,,
BIOL,454,,BIOL 454,Comparative Animal Physiology,3,3,,
